,token,tag
110,۲۰۱۵,I-DAT
111,(,O
112,آذر,B-DAT
113,۱۳۹۴,I-DAT
114,),O
115,بیش,O
116,از,O
117,۱۴۱,O
118,میلیون,O
119,صفحه,O
120,وجود,O
121,دارد,O
122,که,O
123,بیش,O
124,از,O
125,سی,O
126,و,O
127,هفت,O
128,میلیون,O
129,عدد,O
130,از,O
131,آن‌ها,O
132,مقاله,O
133,است,O
134,.,O
135,با,O
136,رشد,O
137,روزافزون,O
138,این,O
139,دانشنامه,O
140,گردانندگان,O
141,آن,O
142,در,O
143,بنیاد,B-ORG
144,ویکی‌مدیا,I-ORG
145,چندین,O
146,پروژه,O
147,مشابه,O
148,دیگر,O
149,همچون,O
150,ویکی‌واژه,O
151,ویکی‌کتاب,O
152,ویکی‌گفتاورد,O
153,و,O
154,ویکی‌خبر,O
155,را,O
156,پدیدآوردند,O
157,.,O
158,نوپدیا,O
159,در,B-DAT
160,تاریخ,I-DAT
161,۹,I-DAT
162,مارس,I-DAT
163,۲۰۰۰,I-DAT
164,(,O
165,میلادی,B-DAT
166,),O
167,۱۹,B-DAT
168,اسفند,I-DAT
169,۱۳۷۸,I-DAT
170,),O
171,تحت,O
172,مالکیت,O
173,شرکت,O
174,بومیس,B-ORG
175,که,O
176,یک,O
177,شرکت,O
178,پورتال,O
179,وب,O
180,بود,O
181,،,O
182,بنیانگذاری,O
183,شد,O
184,.,O
185,شرکت,O
186,بومیس,B-ORG
187,که,O
188,در,B-DAT
189,سال,I-DAT
190,۱۹۹۶,I-DAT
191,بنیان‌گذاری,O
192,شده,O
193,بود,O
194,،,O
195,یک,O
196,پایگاه,O
197,اینترنتی,O
198,تفریحات,O
199,شهوانی,O
200,و,O
201,دارای,O
202,محتوای,O
203,سکسی,O
204,برای,O
205,مردان,O
206,بود,O
207,و,O
208,سرمایه,O
209,نخستین,O
210,دانشنامه,B-ORG
211,آزاد,I-ORG
212,نوپدیا,B-ORG
213,و,O
214,جانشین,O
215,آن,O
216,ویکی‌پدیا,O
217,،,O
218,توسط,O
219,آن,O
220,تا,B-DAT
221,سال,I-DAT
222,۲۰۰۳,I-DAT
223,تامین,O
224,می‌شد,O
225,.,O
226,این,O
227,دانشنامه,O
228,در,O
229,ابتدا,O
230,دارای,O
231,مجوز,O
232,مطلب,O
233,آزاد,O
234,نوپدیا,O
235,بود,O
236,ولی,O
237,درست,O
238,قبل,O
239,از,O
240,تشکیل,O
241,ویکی‌پدیا,O
242,و,O
243,بر‌اثر,O
244,اصرار,O
245,ریچارد,B-PER
246,استالمن,I-PER
247,مجوز,O
248,خود,O
249,را,O
250,تبدیل,O
251,به,O
252,مجوز,O
253,حق,O
254,تالیف,O
255,آزاد,O
256,گنو,O
257,کرد,O
258,.,O
259,ویکی‌پدیا,O
260,برای,O
261,نخستین,O
262,بار,O
263,در,B-DAT
264,تاریخ,I-DAT
265,۱۵,I-DAT
266,ژانویه,I-DAT
267,۲۰۰۱,I-DAT
268,(,O
269,میلادی,B-DAT
270,),O
271,۲۶,B-DAT
272,دی,I-DAT
273,۱۳۷۹,I-DAT
274,),O
275,و,O
276,فقط,O
277,به,O
278,زبان,O
279,انگلیسی,O
280,بهنام,O
281,wikipedia.com,O
282,به,O
283,دنیای,O
284,تازه,O
285,اینترنت,O
286,وصل,O
287,شد,O
288,.,O
289,ویکی‌پدیا,O
290,از,B-DAT
291,۱۰,I-DAT
292,ژانویه,I-DAT
293,یکی,O
294,از,O
295,قابلیت‌های,O
296,Nupedia.com,O
297,به‌شمار,O
298,می‌رفت,O
299,.,O
300,سیاست,O
301,که,O
302,شبیه,O
303,به,O
304,سیاست,O
305,پیشین,O
306,بی‌طرفی,O
307,نوپدیا,O
308,بود,O
309,در,O
310,همان,O
311,ماه‌های,B-DAT
312,اول,I-DAT
313,برنامه‌ریزی,O
314,شد,O
315,.,O
316,در‌پایان,O
317,سال,B-DAT
318,اول,I-DAT
319,به,O
320,تعداد,O
321,۲۰,O
322,٬,O
323,۰۰۰,O
324,مقاله,O
325,بین,O
326,۱۸,O
327,زبان,O
328,خود,O
329,رسید,O
330,.,O
331,تا,B-DAT
332,پایان,I-DAT
333,سال,I-DAT
334,۲۰۰۲,I-DAT
335,تعداد,O
336,زبان‌ها,O
337,به,O
338,۲۶,O
339,،,O
340,پایان,B-DAT
341,سال,I-DAT
342,۲۰۰۳,I-DAT
343,به,O
344,۴۶,O
345,و,O
346,در‌پایان,O
347,۲۰۰۴,O
348,به,O
349,تعداد,O
350,۱۶۱,O
351,زبان,O
352,رسید,O
353,.,O
354,نوپدیا,O
355,و,O
356,ویکی‌پدیا,O
357,آنقدر,O
358,کنار,O
359,هم,O
360,زیستند,O
361,تا,O
362,میزبان,O
363,(,O
364,سرور,O
365,),O
366,نوپدیا,O
367,از,O
368,کار,O
369,افتاد,O
370,و,O
371,در,B-DAT
372,سال,I-DAT
373,۲۰۰۳,I-DAT
374,متون,O
375,آن,O
376,به,O
377,ویکی‌پدیا,O
378,منتقل,O
379,شد,O
380,.,O
381,ولز,O
382,و,O
383,سنگر,O
384,فکر,O
385,استفاده,O
386,از,O
387,ویکی,O
388,را,O
389,به,O
390,وبگاه,O
391,ویکی‌ویکی‌وب,O
392,متعلق,O
393,به,O
394,وارد,B-PER
395,کانینگهام,I-PER
396,نسبت,O
397,می‌دهند,O
398,.,O
399,ولز,O
400,اینگونه,O
401,بیان,O
402,می‌دارد,O
403,که,O
404,او,O
405,برای,O
406,اولین,O
407,بار,O
408,در,B-DAT
409,دسامبر,I-DAT
410,۲۰۰۰,I-DAT
411,فکر,O
412,استفاده,O
413,از,O
414,ویکی,O
415,را,O
416,از,O
417,جرمی,O
418,رزنفیلد,O
419,که,O
420,کارمند,O
421,شرکت,O
422,بومیس,B-ORG
423,بود,O
424,و,O
425,یک,O
426,ویکی,O
427,مشابه,O
428,را,O
429,به,O
430,او,O
431,نشان,O
432,داده,O
433,بود,O
434,شنید,O
435,.,O
436,این,O
437,پروژه,O
438,متعاقبا,O
439,غیرفعال,O
440,شد,O
441,و,O
442,سازنده,O
443,آن,O
444,،,O
445,ریچارد,B-PER
446,استالمن,I-PER
447,که,O
448,بنیان‌گذار,O
449,بنیاد,B-ORG
450,نرم‌افزارهای,I-ORG
451,آزاد,I-ORG
452,است,O
453,،,O
454,شروع,O
455,به,O
456,پشتیبانی,O
457,از,O
458,ویکی‌پدیا,O
459,کرد,O
460,.,O
461,کمی,O
462,بعد,O
463,در,O
464,همان,O
465,سال,B-DAT
466,،,O
467,ولز,O
468,اعلام,O
469,کرد,O
470,که,O
471,ویکی‌پدیا,O
472,از‌این‌پس,O
473,هیچ,O
474,تبلیغی,O
475,نشان,O
476,نخواهد,O
477,داد,O
478,و,O
479,وبگاه,O
480,آن,O
481,را,O
482,به,O
483,wikipedia.org,O
484,انتقال,O
485,داد,O
486,.,O
487,در,B-DAT
488,تاریخ,I-DAT
489,۲۱,I-DAT
490,ژوئن,I-DAT
491,۲۰۰۳,I-DAT
492,(,O
493,میلادی,B-DAT
494,),O
495,۳۰,B-DAT
496,خرداد,I-DAT
497,۱۳۸۲,I-DAT
498,),O
499,بنیاد,B-ORG
500,ویکی‌مدیا,I-ORG
501,از,O
502,بین,O
503,ویکی‌پدیا,O
504,و,O
505,نوپدیا,O
506,شکل,O
507,گرفت,O
508,.,O
509,اولین,O
510,پروژه,O
511,خواهر,O
512,ویکی‌پدیا,O
513,در,B-DAT
514,ماه,I-DAT
515,اکتبر,I-DAT
516,۲۰۰۲,I-DAT
517,،,O
518,به,O
519,یاد,O
520,حملات,B-LOC
521,۱۱,I-LOC
522,سپتامبر,I-LOC
523,برای,O
524,یادآوری,O
525,حوادث,O
526,آن,O
527,روز,O
528,ساخته,O
529,شد,O
530,.,O
531,ویکی‌واژه,O
532,که,O
533,پروژه,O
534,فرهنگ,O
535,واژه‌ها,O
536,بود,O
537,در,B-DAT
538,دسامبر,I-DAT
539,۲۰۰۲,I-DAT
540,،,O
541,ویکی‌گفتاورد,O
542,که,O
543,مجموعه‌ای,O
544,از,O
545,گفته‌های,O
546,معروف,O
547,بود,O
548,درست,O
549,یک,B-DAT
550,هفته,I-DAT
551,بعد,I-DAT
552,از,O
553,افتتاح,O
554,ویکی‌مدیا,O
555,و,O
556,پروژه,O
557,ویکی‌کتاب,O
558,که,O
559,مجموعه‌ای,O
560,از,O
561,کتاب‌های,O
562,رایگانی,O
563,است,O
564,که,O
565,با,O
566,مشارکت,O
567,همگانی,O
568,گردآوری,O
569,شده‌اند,O
570,در,B-DAT
571,ماه,I-DAT
572,بعد,I-DAT
573,به‌کار,O
574,افتاد,O
575,.,O
576,ویکی‌پدیای,O
577,انگلیسی,O
578,در,B-DAT
579,تاریخ,I-DAT
580,۲۲,I-DAT
581,ژانویه,I-DAT
582,۲۰۰۳,I-DAT
583,(,O
584,میلادی,B-DAT
585,),O
586,۲,B-DAT
587,بهمن,I-DAT
588,۱۳۸۱,I-DAT
589,),O
590,به,O
591,سرعت,O
592,۱۰۰,O
593,٬,O
594,۰۰۰,O
595,مقاله,O
596,رسید,O
597,.,O
598,در,B-DAT
599,سال,I-DAT
600,۲۰۰۴,I-DAT
601,(,O
602,میلادی,B-DAT
603,),O
604,مقاله‌های,O
605,ویکی‌پدیا,O
606,به,O
607,نرخ,O
608,رشد,O
609,تقریبی,O
610,۱,O
611,٬,O
612,۰۰۰,O
613,تا,O
614,۳,O
615,٬,O
616,۰۰۰,O
617,مقاله,O
618,در,O
619,روز,O
620,رسیدند,O
621,.,O
622,در,B-DAT
623,۲۵,I-DAT
624,فوریه,I-DAT
625,۲۰۰۴,I-DAT
626,(,O
627,میلادی,B-DAT
628,),O
629,۶,B-DAT
630,اسفند,I-DAT
631,۱۳۸۲,I-DAT
632,),O
633,ویکی‌پدیا,O
634,در,O
635,تمامی,O
636,زبان‌های,O
637,خود,O
638,به,O
639,میزان,O
640,۵۰۰,O
641,٬,O
642,۰۰۰,O
643,مقاله,O
644,دست,O
645,یافت,O
646,.,O
647,در,B-DAT
648,تاریخ,I-DAT
649,۲۰,I-DAT
650,سپتامبر,I-DAT
651,۲۰۰۴,I-DAT
652,(,O
653,میلادی,B-DAT
654,),O
655,۲۹,B-DAT
656,شهریور,I-DAT
657,۱۳۸۳,I-DAT
658,),O
659,مقاله‌های,O
660,ویکی‌پدیا,O
661,در,O
662,۱۰۵,O
663,زبان,O
664,به,O
665,یک,O
666,میلیون,O
667,رسید,O
668,.,O
669,ویکی‌پدیا,O
670,تا,B-DAT
671,۲,I-DAT
672,اردیبهشت,I-DAT
673,۱۳۹۱,I-DAT
674,دربرگیرنده,O
675,۲۷۹,O
676,زبان,O
677,با,O
678,بیش,O
679,از,O
680,ده,O
681,مقاله,O
682,بوده‌است,O
683,.,O
684,ویکی‌پدیا,O
685,تا,B-DAT
686,تاریخ,I-DAT
687,۱۸,I-DAT
688,اکتبر,I-DAT
689,۲۰۱۳,I-DAT
690,(,O
691,۲۶,B-DAT
692,مهر,I-DAT
693,۱۳۹۲,I-DAT
694,),O
695,دربرگیرنده,O
696,۲۸۱,O
697,زبان,O
698,با,O
699,بیش,O
700,از,O
701,ده,O
702,مقاله,O
703,بوده‌است,O
704,.,O
705,این,O
706,دانشنامه,O
707,روی,O
708,وبگاه,O
709,wikipedia.org,O
710,با,O
711,استفاده,O
712,از,O
713,نرم‌افزار,O
714,ی,O
715,بهنام,O
716,ویکی,O
717,که,O
718,به,O
719,زبان,O
720,جزیره,B-LOC
721,هاوایی,I-LOC
722,به,O
723,معنی,O
724,تند,O
725,است,O
726,ساخته,O
727,شده‌است,O
728,.,O
729,جیمی,B-PER
730,ولز,I-PER
731,بنیانگذار,O
732,ویکی‌پدیا,O
733,آن,O
734,را,O
735,اینگونه,O
736,توصیف,O
737,می‌کند,O
738,ویکی‌پدیا,O
739,کوششی,O
740,برای,O
741,آفرینش,O
742,و,O
743,پخش,O
744,دانشنامه‌ای,O
745,با,O
746,بالاترین,O
747,کیفیت,O
748,ممکن,O
749,برای,O
750,همه,O
751,مردم,O
752,روی,O
753,زمین,O
754,و,O
755,به,O
756,زبان,O
757,مادریشان,O
758,است,O
759,.,O
760,ویکی‌پدیا,O
761,تا,O
762,(,O
763,تا,B-DAT
764,آذر,I-DAT
765,۱۳۹۴,I-DAT
766,/,O
767,دسامبر,B-DAT
768,۲۰۱۵,I-DAT
769,),O
770,دربرگیرنده,O
771,۲۸۱,O
772,زبان,O
773,با,O
774,بیش,O
775,از,O
776,ده,O
777,مقاله,O
778,بوده‌است,O
779,.,O
780,فهرست,O
781,زیر,O
782,رتبه‌بندی,O
783,۲۰,O
784,ویکی‌پدیای,O
785,برتر,O
786,از,O
787,نظر,O
788,تعداد,O
789,مقاله,O
790,همراه,O
791,با,O
792,آمارهای,O
793,کلی,O
794,(,O
795,تا,B-DAT
796,آذر,I-DAT
797,۱۳۹۴,I-DAT
798,دسامبر,I-DAT
799,۲۰۱۵,I-DAT
800,است,O
801,:,O
802,ویکی‌پدیا,O
803,توسط,O
804,برنامه,O
805,متن‌باز,O
806,مدیاویکی,O
807,روی,O
808,دسته‌ای,O
809,از,O
810,میزبانان,O
811,وب,O
812,مستقر,O
813,در,O
814,فلوریدا,B-LOC
815,اجرا,O
816,می‌شود,O
817,.,O
818,ویکی‌پدیا,O
819,ژانویه,B-DAT
820,۲۰۰۲,I-DAT
821,در,O
822,نسخه,O
823,جدید,O
824,خود,O
825,(,O
826,فاز,O
827,دوم,O
828,پروژه,O
829,),O
830,از,O
831,موتور,O
832,پی‌اچ‌پی‌ویکی,O
833,روی,O
834,پایگاه,B-LOC
835,داده,I-LOC
836,مای‌اس‌کیوال,O
837,استفاده,O
838,کرد,O
839,.,O
840,این,O
841,نرم‌افزار,O
842,که,O
843,نسخه,O
844,شماره,O
845,سه,O
846,محسوب,O
847,می‌شد,O
848,در,B-DAT
849,ژوئیه,I-DAT
850,۲۰۰۲,I-DAT
851,نوشته,O
852,شد,O
853,و,O
854,مدیاویکی,O
855,نام‌گذاری,O
856,گردید,O
857,.,O
858,این,O
859,وبگاه,O
860,تا,B-DAT
861,سال,I-DAT
862,۲۰۰۴,I-DAT
863,تنها,O
864,روی,O
865,یک,O
866,سرور,O
867,بود,O
868,تا‌آنجا‌که,O
869,تنظیمات,O
870,میزبان,O
871,آن,O
872,تقسیم,O
873,به,O
874,چندین,O
875,قسمت,O
876,شد,O
877,.,O
878,در,B-DAT
879,ژانویه,I-DAT
880,۲۰۰۵,I-DAT
881,ویکی‌پدیا,O
882,روی,O
883,۳۹,O
884,سرور,O
885,مختلف,O
886,در,O
887,فلوریدا,O
888,مشغول,O
889,به‌کار,O
890,بود,O
891,.,O
892,در,B-DAT
893,سپتامبر,I-DAT
894,۲۰۰۵,I-DAT
895,،,O
896,گروه,O
897,میزبان‌های,O
898,وب,O
899,ویکی‌پدیا,O
900,به,O
901,بیش,O
902,از,O
903,۱۰۰,O
904,عدد,O
905,افزایش,O
906,یافت,O
907,و,O
908,بنابر,O
909,تقاضای,O
910,مسئول,O
911,مرکز,O
912,داده‌ها,O
913,،,O
914,تمامی,O
915,میزبان‌ها,O
916,با,O
917,موفقیت,O
918,،,O
919,به,O
920,ساختمان,O
921,جدید,O
922,واقع,O
923,در,O
924,مرکز,B-ORG
925,شهر,I-ORG
926,تامپا,B-LOC
927,انتقال,O
928,داده,O
929,شدند,O
930,.,O
931,ویکی‌مدیا,O
932,ساخت,O
933,شبکه‌ای,O
934,جهانی,O
935,از,O
936,میزبانان,O
937,مخزن,O
938,در‌کنار,O
939,۳,O
940,میزبان,O
941,مخزن,O
942,خود,O
943,در,O
944,فرانسه,B-LOC
945,را,O
946,آغاز,O
947,کرده‌است,O
948,تا,O
949,سرعت,O
950,پاسخگویی,O
951,را,O
952,بالاتر,O
953,ببرد,O
954,.,O
955,در‌حال‌حاضر,O
956,یک,O
957,گروه,O
958,میزبان,O
959,جدید,O
960,در,O
961,هلند,B-LOC
962,و,O
963,در,O
964,کره,B-LOC
965,جنوبی,I-LOC
966,شروع,O
967,به‌کار,O
968,کرده‌اند,O
969,و,O
970,پاسخگوی,O
971,بخش,O
972,بزرگی,O
973,از,O
974,ترافیک,O
975,ویکی‌پدیا,O
976,هستند,O
977,.,O
978,فکر,O
979,ویرایش,O
980,مقاله‌ها,O
981,براین‌اساس,O
982,شکل‌گرفته,O
983,که,O
984,همکاری,O
985,کاربران,O
986,با,O
987,یکدیگر,O
988,می‌تواند,O
989,در,O
990,بهبود,O
991,کیفیت,O
992,مقاله‌ها,O
993,در,B-DAT
994,طول,I-DAT
995,زمان,I-DAT
996,تاثیر,O
997,به,O
998,سزایی,O
999,داشته,O
1000,باشد,O
1001,همان‌طور,O
1002,که,O
1003,در,O
1004,توسعه,O
1005,نرم‌افزارهای,O
1006,متن‌باز,O
1007,داشته‌است,O
1008,.,O
1009,تصمیم‌گیری,O
1010,در,O
1011,مورد,O
1012,مطالب,O
1013,و,O
1014,سیاست‌های,O
1015,ویرایشی,O
1016,ویکی‌پدیا,O
1017,با,O
1018,توافق,O
1019,عام,O
1020,و,O
1021,رای‌گیری,O
1022,صورت,O
1023,می‌گیرد,O
1024,،,O
1025,اگر,O
1026,چه,O
1027,تصمیم,O
1028,آخر,O
1029,همیشه,O
1030,با,O
1031,جیمی,B-PER
1032,ولز,I-PER
1033,است,O
1034,.,O
1035,در,B-DAT
1036,ماه,I-DAT
1037,دسامبر,I-DAT
1038,۲۰۰۵,I-DAT
1039,،,O
1040,ویکی‌پدیا,O
1041,حدودا,O
1042,دارای,O
1043,۲۷,O
1044,٬,O
1045,۰۰۰,O
1046,کاربر,O
1047,بوده‌است,O
1048,که,O
1049,هرکدام,O
1050,دست,O
1051,کم,O
1052,در,B-DAT
1053,روز,I-DAT
1054,پنج,I-DAT
1055,ویرایش,O
1056,یا,O
1057,اثر,O
1058,از,O
1059,خود,O
1060,به,O
1061,جا,O
1062,گذاشته‌است,O
1063,.,O
1064,ویکی‌پدیا,O
1065,از,O
1066,طریق,O
1067,بنیاد,B-ORG
1068,ویکی‌مدیا,I-ORG
1069,برپا,O
1070,شد,O
1071,.,O
1072,هزینه‌های,O
1073,ربع,B-DAT
1074,چهارم,I-DAT
1075,سال,I-DAT
1076,۲۰۰۵,I-DAT
1077,آن,O
1078,معادل,O
1079,۳۲۱,O
1080,٬,O
1081,۰۰۰,O
1082,دلار,O
1083,آمریکا,O
1084,بوده,O
1085,که,O
1086,۶۰,O
1087,آن,O
1088,مربوط,O
1089,به,O
1090,سخت‌افزار,O
1091,است,O
1092,.,O
1093,هم‌اکنون,O
1094,بنیاد,B-ORG
1095,ویکی‌مدیا,I-ORG
1096,بر‌روی,O
1097,کمک‌های,O
1098,خصوصی,O
1099,تکیه,O
1100,دارد,O
1101,و,O
1102,از,O
1103,رایزن‌های,O
1104,مالی,O
1105,استفاده,O
1106,می‌کند,O
1107,.,O
1108,رایزنی,O
1109,مالی,O
1110,سال,B-DAT
1111,۲۰۰۷,I-DAT
1112,موجب,O
1113,جمع‌آوری,O
1114,مبلغی,O
1115,بیش,O
1116,از,O
1117,۱,O
1118,میلیون,O
1119,دلار,O
1120,شد,O
1121,.,O
1122,ویکی‌پدیا,O
1123,را,O
1124,از,O
1125,منظر,O
1126,تجربه‌ای,O
1127,اجتماعی,O
1128,در,O
1129,آنارشیسم,B-ORG
1130,یا,O
1131,دموکراسی,O
1132,نیز,O
1133,مورد‌بررسی,O
1134,قرار,O
1135,داده‌اند,O
1136,.,O
1137,در,O
1138,یک,O
1139,مقاله,O
1140,تحقیقاتی,O
1141,منتشرشده,O
1142,در,B-DAT
1143,سال,I-DAT
1144,۲۰۱۲,I-DAT
1145,در,O
1146,پلاس,O
1147,وان,O
1148,طاها,B-PER
1149,یاسری,I-PER
1150,و,O
1151,همکاران,O
1152,با,O
1153,بررسی,O
1154,میزان,O
1155,مشارکت,O
1156,کاربران,O
1157,در,O
1158,طول,O
1159,شبانه‌روز,O
1160,سهم,O
1161,مناطق,O
1162,جهان,O
1163,را,O
1164,در,O
1165,ویرایش,O
1166,چند,O
1167,نسخه,O
1168,مختلف,O
1169,ویکی‌پدیا,O
1170,تخمین,O
1171,زدند,O
1172,.,O
1173,این,O
1174,بررسی‌ها,O
1175,نشان,O
1176,دادند,O
1177,برای‌مثال,O
1178,غالب,O
1179,مشارکت‌های,O
1180,انجام‌شده,O
1181,در,O
1182,ویکی‌پدیای,O
1183,فارسی,O
1184,از,O
1185,اروپا,O
1186,و,O
1187,آمریکای,B-LOC
1188,شمالی,I-LOC
1189,بوده‌است,O
1190,.,O
1191,یا,O
1192,مثلا,O
1193,۵۰,O
1194,ویرایش‌های,O
1195,انجام‌شده,O
1196,از,O
1197,آمریکای,B-LOC
1198,شمالی,I-LOC
1199,در,O
1200,ویکی‌پدیای,O
1201,انگلیسی,O
1202,بوده‌اند,O
1203,و,O
1204,برای,O
1205,ویکی‌پدیای,O
1206,انگلیسی,O
1207,ساده,O
1208,این,O
1209,مقدار,O
1210,۲۵,O
1211,بوده‌است,O
1212,.,O
1213,نیویورک‌تایمز,O
1214,از,O
1215,قول,O
1216,روزنامه,O
1217,اسرائیلی,O
1218,آروتز,O
1219,شوا,O
1220,می‌نویسد,O
1221,آیلت,O
1222,شیکد,O
1223,عضو,O
1224,جنبش,O
1225,اسرائیل,O
1226,من,O
1227,،,O
1228,یکی,O
1229,از,O
1230,سازماندهان,O
1231,دوره,O
1232,گفت,O
1233,که,O
1234,به‌کار,O
1235,بردن,O
1236,کلمه,O
1237,اشغالی,O
1238,در,O
1239,مدخلهایی,O
1240,از,O
1241,ویکی‌پدیا,O
1242,که,O
1243,درباره,O
1244,تسخیر,O
1245,سرزمین,B-LOC
1246,فلسطین,I-LOC
1247,توسط,O
1248,اسرائیل,O
1249,در,B-DAT
1250,سال,I-DAT
1251,۱۹۶۷,I-DAT
1252,بحث,O
1253,می‌کنند,O
1254,،,O
1255,دقیقا,O
1256,از,O
1257,مشکلاتی,O
1258,است,O
1259,که,O
1260,وی,O
1261,امیدوار,O
1262,است,O
1263,که,O
1264,توسط,O
1265,تیمی,O
1266,جدید,O
1267,از,O
1268,ویرایشگران,O
1269,،,O
1270,حل,O
1271,شود,O
1272,.,O
1273,نیویورک‌تایمز,O
1274,از,O
1275,قول,O
1276,هاآرتص,O
1277,می‌نویسد,O
1278,انجمن,O
1279,ایشا,O
1280,جایزه‌ای,O
1281,را,O
1282,برای,O
1283,بهترین,O
1284,ویرایشگر,O
1285,صهیونیست,O
1286,یعنی,O
1287,کسی,O
1288,که,O
1289,طی,B-DAT
1290,چهار,I-DAT
1291,سال,I-DAT
1292,آینده,I-DAT
1293,بتواند,O
1294,در,O
1295,بیشترین,O
1296,تغییرات,O
1297,صهیونیستی,O
1298,در,O
1299,ویکی‌پدیا,O
1300,مشارکت,O
1301,داشته,O
1302,باشد,O
1303,،,O
1304,تعیین,O
1305,کرد,O
1306,.,O
1307,فیلیپ,O
1308,بردلی,O
1309,در,O
1310,مصاحبه‌ای,O
1311,که,O
1312,با,O
1313,روزنامه,B-ORG
1314,گاردین,I-ORG
1315,در,O
1316,سال,B-DAT
1317,۲۰۰۴,I-DAT
1318,انجام,O
1319,داد,O
1320,گفت,O
1321,که,O
1322,او,O
1323,هرگز,O
1324,از,O
1325,ویکی‌پدیا,O
1326,استفاده,O
1327,نمی‌کند,O
1328,و,O
1329,هیچ,O
1330,کتابدار,O
1331,دیگری,O
1332,را,O
1333,نمی‌شناسد,O
1334,که,O
1335,این,O
1336,کار,O
1337,را,O
1338,انجام,O
1339,دهد,O
1340,.,O
1341,دانا,O
1342,بوید,O
1343,درسال,B-DAT
1344,۲۰۰۵,I-DAT
1345,در,O
1346,بحثی,O
1347,پیرامون,O
1348,ویکی‌پدیا,O
1349,به‌عنوان,O
1350,یک,O
1351,منبع,O
1352,دانشگاهی,O
1353,این‌طور,O
1354,می‌گوید,O
1355,که,O
1356,ویکی‌پدیا,O
1357,هیچ‌گاه,O
1358,یک,O
1359,دانشنامه,O
1360,نخواهد,O
1361,شد,O
1362,ولی,O
1363,حتما,O
1364,در,O
1365,آینده,O
1366,تبدیل,O
1367,به,O
1368,منبع,O
1369,گسترده‌ای,O
1370,از,O
1371,دانش,O
1372,می‌شود,O
1373,که,O
1374,برای,O
1375,اهداف,O
1376,مختلف,O
1377,ارزش,O
1378,زیادی,O
1379,خواهند,O
1380,داشت,O
1381,.,O
1382,رئیس,O
1383,بخش,O
1384,تحریریه,O
1385,سابق,O
1386,،,O
1387,لری,B-PER
1388,سانگر,I-PER
1389,در,B-DAT
1390,اواخر,I-DAT
1391,سال,I-DAT
1392,۲۰۰۴,I-DAT
1393,،,O
1394,از,O
1395,ویکی‌پدیا,O
1396,به,O
1397,دلیل,O
1398,داشتن,O
1399,ماهیت,O
1400,ضد,O
1401,نخبه,O
1402,که,O
1403,باعث,O
1404,رد,O
1405,بازنگری,O
1406,رسمی,O
1407,می‌شود,O
1408,و,O
1409,در‌نتیجه,O
1410,موجب,O
1411,کاهش,O
1412,اعتبار,O
1413,مقاله‌های,O
1414,آن,O
1415,می‌گردد,O
1416,انتقاد,O
1417,کرد,O
1418,.,O
1419,مدخل,O
1420,مربوط,O
1421,به,O
1422,تندباد,O
1423,فرنسس,O
1424,پنج,O
1425,برابر,O
1426,بزرگی,O
1427,مدخل,O
1428,مربوط,O
1429,به,O
1430,هنر,O
1431,چین,O
1432,است,O
1433,و,O
1434,مدخل,O
1435,خیابان,O
1436,کورونیشن,O
1437,دو,O
1438,برابر,O
1439,مدخل,O
1440,مربوط,O
1441,به,O
